,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,40.55,40.6,39.6,39.8,39.95,40.05,241109,9647424.75,04-JAN-2021,1314,INE144J01027
1,21STCENMGM,EQ,10.65,10.85,10.45,10.6,10.6,10.65,17191,182104.05,04-JAN-2021,854,INE253B01015
2,3IINFOTECH,EQ,7.05,7.05,7.05,7.05,7.05,6.75,2282179,16089361.95,04-JAN-2021,577,INE748C01020
3,3MINDIA,EQ,21288.0,21300.0,21065.0,21154.65,21175.0,21127.6,3043,64443503.35,04-JAN-2021,1846,INE470A01017
4,3PLAND,EQ,11.7,11.7,10.75,11.35,11.4,11.2,7865,89189.35,04-JAN-2021,97,INE105C01023
6,5PAISA,EQ,305.9,309.8,299.3,302.8,304.0,302.15,13969,4237635.85,04-JAN-2021,352,INE618L01018
15,A2ZINFRA,EQ,5.5,5.8,5.5,5.8,5.8,5.3,836894,4785285.35,04-JAN-2021,579,INE619I01012
17,AAKASH,EQ,76.5,76.5,75.0,75.9,76.05,75.3,43927,3335675.2,04-JAN-2021,411,INE087Z01016
18,AARON,EQ,50.45,54.4,50.45,54.1,54.0,51.85,10634,571292.35,04-JAN-2021,97,INE721Z01010
19,AARTIDRUGS,EQ,751.0,756.0,735.0,739.75,740.0,735.0,689719,513134744.5,04-JAN-2021,22346,INE767A01016
20,AARTIIND,EQ,1263.0,1285.0,1262.15,1282.05,1282.0,1260.5,332674,425124306.15,04-JAN-2021,20325,INE769A01020
21,AARTISURF,EQ,1030.0,1060.0,1015.0,1034.0,1038.0,1025.6,12231,12625699.3,04-JAN-2021,1335,INE09EO01013
23,AARVI,EQ,48.4,51.3,48.4,49.65,49.5,50.3,41107,2048783.85,04-JAN-2021,367,INE754X01016
24,AAVAS,EQ,1748.8,1939.0,1673.6,1867.05,1938.0,1720.65,79683,143837806.25,04-JAN-2021,10932,INE216P01012
26,ABB,EQ,1239.1,1290.0,1235.0,1262.9,1262.0,1232.7,99581,125140433.9,04-JAN-2021,6565,INE117A01022
27,ABBOTINDIA,EQ,15793.75,15862.9,15630.9,15668.05,15698.9,15746.0,16723,262908495.05,04-JAN-2021,7391,INE358A01014
28,ABCAPITAL,EQ,89.85,91.5,88.3,89.35,89.15,89.1,4772934,428265123.35,04-JAN-2021,24630,INE674K01013
29,ABFRL,EQ,168.5,168.65,164.1,166.8,165.7,166.5,1927284,321013902.45,04-JAN-2021,21543,INE647O01011
33,ABSLBANETF,EQ,311.16,313.79,307.52,311.28,311.41,312.28,110,33965.74,04-JAN-2021,13,INF209KB1O58
34,ABSLNN50ET,EQ,318.0,319.0,314.0,319.0,319.0,313.81,124,39317.8,04-JAN-2021,14,INF209KB1B87
35,ACC,EQ,1634.0,1649.0,1628.0,1641.4,1643.65,1626.1,1446174,2369571459.3,04-JAN-2021,43847,INE012A01025
36,ACCELYA,EQ,954.95,972.95,954.95,964.35,966.0,958.85,3292,3173181.1,04-JAN-2021,664,INE793A01012
37,ACCURACY,EQ,36.8,37.65,36.1,36.2,36.2,36.8,10939,400125.65,04-JAN-2021,57,INE648Z01015
38,ACE,EQ,143.9,146.0,138.6,142.95,142.8,142.75,700191,99984608.75,04-JAN-2021,8366,INE731H01025
39,ADANIENT,EQ,492.0,502.6,486.65,494.5,493.4,491.15,4936582,2444301591.45,04-JAN-2021,47480,INE423A01024
40,ADANIGAS,EQ,380.05,381.8,371.0,375.6,375.5,376.8,1278975,481580884.15,04-JAN-2021,15167,INE399L01023
41,ADANIGREEN,EQ,1088.4,1090.0,1071.2,1082.25,1080.1,1065.95,360776,389299219.75,04-JAN-2021,24807,INE364U01010
42,ADANIPORTS,EQ,507.0,510.9,495.2,498.9,498.1,503.85,9998803,5012948738.45,04-JAN-2021,88263,INE742F01042
43,ADANIPOWER,EQ,50.7,50.9,49.9,50.2,50.15,50.15,6557749,329743748.05,04-JAN-2021,18943,INE814H01011
44,ADANITRANS,EQ,437.25,445.45,435.1,441.2,441.0,434.25,454470,200513086.0,04-JAN-2021,12576,INE931S01010
45,ADFFOODS,EQ,647.0,665.0,628.2,648.95,652.9,640.9,130886,84859640.6,04-JAN-2021,5473,INE982B01019
48,ADORWELD,EQ,274.4,280.0,273.0,274.35,273.5,274.4,19384,5343854.35,04-JAN-2021,790,INE045A01017
50,ADSL,EQ,40.95,41.05,40.45,41.05,41.05,39.1,109547,4484869.5,04-JAN-2021,394,INE102I01027
52,ADVENZYMES,EQ,335.1,338.45,328.5,332.25,331.4,336.7,282105,93753992.35,04-JAN-2021,7191,INE837H01020
53,AEGISCHEM,EQ,256.5,259.65,252.2,257.1,258.65,255.2,238997,61076964.2,04-JAN-2021,8091,INE208C01025
54,AFFLE,EQ,3885.0,4040.0,3866.0,3958.55,3955.0,3867.15,100727,399556526.5,04-JAN-2021,17239,INE00WC01019
55,AGARIND,EQ,104.05,105.15,101.25,102.6,103.6,103.75,15121,1565628.95,04-JAN-2021,407,INE204E01012
58,AGROPHOS,EQ,16.5,16.7,15.75,15.95,15.85,16.45,296854,4758924.75,04-JAN-2021,900,INE740V01019
60,AHLEAST,EQ,172.45,172.45,167.5,168.85,168.5,166.2,2020,340717.9,04-JAN-2021,88,INE926K01017
61,AHLUCONT,EQ,269.0,269.0,265.2,266.65,265.3,266.25,103201,27467955.25,04-JAN-2021,831,INE758C01029
62,AHLWEST,EQ,264.75,264.75,259.95,261.85,261.05,258.4,2633,688128.35,04-JAN-2021,115,INE915K01010
63,AIAENG,EQ,1993.7,2050.15,1976.9,2036.85,2015.0,1968.1,51394,104193177.6,04-JAN-2021,7237,INE212H01026
64,AIRAN,EQ,19.45,19.45,18.35,18.9,18.9,18.55,50651,956023.3,04-JAN-2021,308,INE645W01026
66,AJANTPHARM,EQ,1651.9,1674.9,1642.0,1649.8,1642.35,1651.05,91174,151007369.1,04-JAN-2021,9617,INE031B01049
67,AJMERA,EQ,142.4,142.4,136.55,138.85,139.45,140.7,89616,12505754.15,04-JAN-2021,1919,INE298G01027
69,AKASH,EQ,250.0,250.0,236.0,240.2,237.0,243.85,51543,12379581.6,04-JAN-2021,234,INE737W01013
71,AKSHARCHEM,EQ,266.15,279.2,266.1,272.15,273.8,264.05,111288,30373020.95,04-JAN-2021,3062,INE542B01011
72,AKSHOPTFBR,EQ,7.75,7.95,7.05,7.55,7.55,7.75,717254,5429193.45,04-JAN-2021,963,INE523B01011
73,AKZOINDIA,EQ,2456.95,2516.0,2412.25,2471.5,2484.0,2397.95,40670,100578057.55,04-JAN-2021,6197,INE133A01011
74,ALANKIT,EQ,20.0,20.4,18.85,19.05,18.85,19.8,342765,6624115.75,04-JAN-2021,1304,INE914E01040
75,ALBERTDAVD,EQ,456.8,459.0,450.0,451.0,451.05,450.85,16233,7373820.3,04-JAN-2021,871,INE155C01010
77,ALEMBICLTD,EQ,106.0,106.9,104.4,105.2,105.35,105.3,403674,42597268.65,04-JAN-2021,3995,INE426A01027
78,ALICON,EQ,381.85,384.95,363.25,373.85,374.0,377.1,15952,5947999.6,04-JAN-2021,1246,INE062D01024
79,ALKALI,EQ,48.7,51.75,48.15,50.1,50.0,48.0,151082,7601190.9,04-JAN-2021,2504,INE773I01017
80,ALKEM,EQ,2984.0,2984.0,2945.0,2967.2,2963.0,2950.75,68870,203912870.5,04-JAN-2021,7196,INE540L01014
81,ALKYLAMINE,EQ,3940.0,4625.0,3880.0,4447.3,4550.0,3880.5,365291,1553495645.7,04-JAN-2021,43044,INE150B01021
82,ALLCARGO,EQ,137.05,137.7,133.7,134.4,134.8,136.35,746711,100664407.55,04-JAN-2021,3883,INE418H01029
83,ALLSEC,EQ,299.65,299.65,285.0,288.6,288.55,293.0,15739,4557429.55,04-JAN-2021,701,INE835G01018
84,ALMONDZ,EQ,21.85,21.85,20.5,20.9,20.6,21.3,33824,701065.95,04-JAN-2021,146,INE326B01027
85,ALOKINDS,EQ,23.6,23.75,22.7,22.95,22.9,23.55,16119458,369915167.35,04-JAN-2021,24552,INE270A01029
89,AMARAJABAT,EQ,927.6,972.0,923.9,965.75,964.15,925.05,1523954,1450315752.7,04-JAN-2021,46528,INE885A01032
90,AMBER,EQ,2410.0,2436.5,2386.3,2398.5,2396.05,2386.3,96510,232490011.7,04-JAN-2021,9779,INE371P01015
91,AMBIKCO,EQ,868.9,880.0,863.1,876.15,878.3,855.7,33281,29155357.5,04-JAN-2021,1616,INE540G01014
92,AMBUJACEM,EQ,252.9,253.8,250.0,252.9,253.3,250.85,4860584,1224256067.05,04-JAN-2021,40746,INE079A01024
93,AMDIND,EQ,20.9,22.0,20.3,21.7,21.5,20.9,130101,2795224.35,04-JAN-2021,702,INE005I01014
94,AMJLAND,EQ,26.85,28.0,26.15,26.65,26.6,26.5,22631,612546.1,04-JAN-2021,195,INE606A01024
96,AMRUTANJAN,EQ,508.5,589.0,502.8,564.4,560.5,502.75,1751203,982100297.65,04-JAN-2021,55162,INE098F01031
97,ANANTRAJ,EQ,27.45,27.75,26.6,26.85,27.0,26.85,669866,18073153.85,04-JAN-2021,1748,INE242C01024
98,ANDHRACEMT,EQ,6.4,6.6,6.4,6.45,6.45,6.3,971725,6351550.3,04-JAN-2021,1165,INE666E01012
99,ANDHRAPAP,EQ,217.45,224.0,215.3,217.9,218.95,217.7,164518,36118959.2,04-JAN-2021,4520,INE435A01028
100,ANDHRSUGAR,EQ,325.0,328.5,316.0,321.0,321.1,320.85,105811,34193183.7,04-JAN-2021,2988,INE715B01013
101,ANGELBRKG,EQ,342.0,356.7,336.95,345.0,347.0,336.65,644292,223399468.3,04-JAN-2021,35172,INE732I01013
103,ANKITMETAL,EQ,1.75,1.75,1.75,1.75,1.75,1.7,46530,81427.5,04-JAN-2021,52,INE106I01010
105,ANSALHSG,EQ,7.7,7.7,7.7,7.7,7.7,7.35,20712,159482.4,04-JAN-2021,38,INE880B01015
106,ANUP,EQ,721.0,734.9,713.0,721.9,725.5,721.95,12734,9201218.85,04-JAN-2021,1269,INE294Z01018
